market,assets,pairs,falsified,zero_priced,falsified_rate,zero_priced_frac
"('t', ('1002', 'tokyo_4_merged.csv'))",8,2.0,0.0,3.0,0.0,0.375
"('t', ('1059', 'sds.tab'))",18,27.0,0.0,2.0,0.0,0.1111111111111111
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,0.0,1.0
"('t', ('1123', 'table_filt3_t3d33b238'))",33,86.0,0.0,33.0,0.0,1.0
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,0.0,1.0
"('t', ('1143', 'inproceedings'))",27,20.0,1.0,10.0,0.05,0.37037037037037035
"('t', ('1267', 'h2_w_1.csv'))",18,4.0,0.0,3.0,0.0,0.16666666666666666
"('t', ('1307', 'vizlets_28nov11_16h16m43s_every_displayed_vizlet.csv'))",31,30.0,0.0,0.0,0.0,0.0
"('t', ('354', 'table_twitter_rv.6200000header'))",19,16.0,0.0,19.0,0.0,1.0
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,0.0,0.984375
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,0.0,0.8641975308641975
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,0.017586712261846604,0.28378378378378377
"('t', ('826', 'ox_psemu_nonull_nona_evalueless05_dupsremoved.txt'))",48,53.0,2.0,2.0,0.03773584905660377,0.041666666666666664
"('t', ('826', 'psemu1_genecatalog_proteins_20111011_kog.tab.txt'))",55,77.0,9.0,4.0,0.11688311688311688,0.07272727272727272
"('t', ('826', 'table_pmureate.seastar_fornormalizing.txt'))",60,129.0,0.0,35.0,0.0,0.5833333333333334
