src,tgt,dc_src,dc_tgt,witnesses_found
58,118,11,87,9
59,118,11,87,9
161,118,1,87,9
162,118,1,87,9
163,21,0,2,0
164,21,0,2,0
165,21,0,2,0
166,21,0,2,0
174,21,0,2,0
174,118,0,87,9
174,172,0,1,1
174,173,0,1,1
175,21,0,2,0
175,118,0,87,9
175,172,0,1,1
175,173,0,1,1
176,21,0,2,0
176,118,0,87,9
176,172,0,1,1
176,173,0,1,1
203,118,86,87,9
208,118,86,87,9
209,118,86,87,9
210,118,86,87,9
211,118,86,87,9
212,118,86,87,9
213,118,86,87,9
214,118,86,87,9
215,118,86,87,9
216,118,86,87,9
