queries,distinct_q,tables,gb,group_agg,max_q_per_table,q_per_table
652,500,297,2.408,3,251,2.2
484,362,50,0.028,91,171,9.68
224,169,10,0.046,26,104,22.4
213,144,2,0.002,0,138,106.5
195,186,84,0.036,5,49,2.32
185,173,89,0.244,3,57,2.08
156,126,515,4.66,0,156,0.3
152,147,65,0.113,5,40,2.34
136,110,15,0.09,38,60,9.07
122,89,7,0.336,32,62,17.43
116,109,5,0.003,47,86,23.2
113,99,1,0.002,0,113,113.0
99,75,2,0.019,3,99,49.5
78,73,17,0.021,0,34,4.59
76,63,124,4.281,0,45,0.61
71,56,1,0.0,37,71,71.0
69,60,30,0.007,0,39,2.3
68,27,1,0.0,0,68,68.0
65,51,2,0.03,0,59,32.5
57,49,1,0.072,36,57,57.0
56,43,2,0.005,0,38,28.0
53,51,5,0.212,35,41,10.6
53,50,49,0.001,17,51,1.08
51,45,38,1.244,0,49,1.34
48,25,4,0.067,17,27,12.0
47,29,10,0.094,0,25,4.7
45,42,31,0.051,0,19,1.45
42,33,1,0.0,3,42,42.0
39,19,1,0.001,0,39,39.0
38,32,1,0.005,1,38,38.0
38,32,2,0.005,0,38,19.0
37,30,20,0.032,0,24,1.85
35,24,2,0.0,0,31,17.5
31,23,1,0.0,0,31,31.0
30,21,1,0.001,0,30,30.0
29,10,2,0.005,0,29,14.5
29,23,3,0.023,10,28,9.67
28,23,1,0.0,0,28,28.0
28,28,4,0.02,4,22,7.0
28,25,66,0.025,5,27,0.42
26,25,2,0.0,7,23,13.0
25,22,9,0.002,0,25,2.78
25,21,1,0.0,0,25,25.0
24,22,3,0.072,4,17,8.0
24,22,1,0.0,0,24,24.0
24,12,3,0.136,10,15,8.0
24,16,4,0.007,6,19,6.0
24,14,1,0.0,0,24,24.0
23,14,1,0.002,0,23,23.0
23,17,1,0.005,0,23,23.0
22,18,1,0.0,0,22,22.0
21,16,1,0.015,11,21,21.0
21,18,2,0.004,0,21,10.5
21,19,1,0.001,0,21,21.0
20,9,2,0.0,1,20,10.0
20,15,2,0.016,0,18,10.0
20,15,4,0.192,6,11,5.0
20,16,1,0.0,0,20,20.0
20,8,5,0.013,0,20,4.0
19,15,13,0.032,0,12,1.46
19,19,2,0.014,13,16,9.5
18,16,2,0.0,4,18,9.0
18,12,1,0.008,0,18,18.0
18,15,1,0.009,0,18,18.0
17,13,1,0.014,10,17,17.0
16,15,1,0.0,0,16,16.0
16,16,1,0.002,0,16,16.0
16,12,6,0.114,0,14,2.67
15,9,1,0.026,3,15,15.0
15,14,7,0.002,0,12,2.14
14,8,2,0.014,9,14,7.0
14,13,1,0.0,0,14,14.0
14,12,2,0.039,0,13,7.0
14,13,1,0.005,0,14,14.0
14,13,1,0.015,0,14,14.0
14,14,2,0.001,0,14,7.0
14,11,1,0.0,0,14,14.0
13,9,1,0.001,0,13,13.0
13,4,1,0.001,0,13,13.0
13,12,1,0.0,0,13,13.0
13,6,1,0.002,0,13,13.0
13,12,1,0.004,0,13,13.0
12,9,1,0.005,2,12,12.0
12,11,1,0.008,0,12,12.0
12,5,1,0.001,0,12,12.0
12,9,1,0.001,7,12,12.0
12,11,1,0.003,0,12,12.0
12,12,2,0.001,0,9,6.0
11,10,1,0.0,1,11,11.0
11,7,2,0.005,0,8,5.5
11,7,3,0.11,4,9,3.67
11,8,1,0.002,0,11,11.0
11,6,1,0.001,0,11,11.0
11,8,1,0.015,0,11,11.0
11,9,3,0.012,0,11,3.67
10,9,1,0.0,0,10,10.0
10,9,2,0.001,0,8,5.0
10,8,1,0.0,0,10,10.0
10,10,1,0.0,0,10,10.0
10,9,1,0.0,0,10,10.0
10,8,1,0.086,0,10,10.0
10,6,2,0.005,0,10,5.0
10,10,1,0.0,0,10,10.0
10,9,2,0.004,0,10,5.0
10,10,1,0.0,0,10,10.0
10,7,1,0.0,0,10,10.0
10,10,3,0.007,1,7,3.33
9,6,7,0.004,0,6,1.29
9,7,1,0.0,0,9,9.0
9,8,3,0.011,0,9,3.0
9,7,2,0.0,0,9,4.5
9,9,1,0.0,2,9,9.0
9,8,2,0.004,0,9,4.5
9,8,2,0.015,0,9,4.5
9,5,4,0.002,0,9,2.25
9,9,1,0.039,0,9,9.0
8,8,1,0.06,0,8,8.0
8,7,1,0.0,0,8,8.0
8,7,3,0.03,0,8,2.67
8,4,2,0.192,0,8,4.0
8,2,1,0.006,0,8,8.0
8,8,1,0.0,0,8,8.0
7,6,1,0.019,3,7,7.0
7,6,3,0.004,0,5,2.33
7,7,23,0.032,0,5,0.3
7,5,1,0.013,0,7,7.0
7,4,5,0.0,0,7,1.4
7,6,1,0.002,0,7,7.0
7,6,2,0.002,0,7,3.5
7,7,1,0.009,0,7,7.0
7,7,2,0.01,0,7,3.5
6,6,1,0.002,0,6,6.0
6,4,1,0.001,0,6,6.0
6,6,13,0.501,0,6,0.46
6,5,1,0.0,0,6,6.0
6,5,25,1.058,0,6,0.24
6,4,2,0.001,1,6,3.0
6,6,2,0.0,0,6,3.0
6,6,1,0.0,0,6,6.0
6,6,2,0.003,0,6,3.0
6,3,2,0.002,0,6,3.0
6,3,2,0.004,0,6,3.0
6,2,1,0.0,0,6,6.0
6,5,3,0.001,0,6,2.0
6,6,1,0.008,0,6,6.0
5,3,2,0.041,0,5,2.5
5,4,1,0.001,0,5,5.0
5,3,1,0.0,0,5,5.0
