component,survivors,materialized,pairs_attempted,verified_pairs,n_projection,n_rollup,n_selection
1,234,222,5597,2047,1703.0,22.0,322.0
2,97,81,73,19,18.0,0.0,1.0
3,89,81,788,284,67.0,0.0,217.0
4,68,47,211,177,116.0,0.0,61.0
5,64,64,7,3,0.0,0.0,3.0
6,60,60,311,129,65.0,0.0,64.0
7,57,55,207,77,14.0,0.0,63.0
8,50,48,278,53,39.0,0.0,14.0
9,44,18,26,4,2.0,0.0,2.0
10,39,19,40,16,16.0,0.0,0.0
11,35,33,121,86,24.0,0.0,62.0
12,31,31,79,30,23.0,2.0,5.0
13,31,2,1,0,0.0,0.0,0.0
14,28,27,287,20,8.0,0.0,12.0
15,20,18,85,27,26.0,0.0,1.0
