component,src,tgt,family
1,474,481,projection
1,474,9067,projection
1,475,474,rollup
1,475,476,projection
1,475,477,selection
1,475,480,rollup
1,475,481,rollup
1,475,8705,projection
1,475,8706,selection
1,475,8707,projection
1,475,8710,projection
1,475,8713,projection
1,475,8714,projection
1,475,8715,projection
1,475,8716,projection
1,475,8717,projection
1,475,8724,projection
1,475,8735,projection
1,475,8748,selection
1,475,8758,projection
1,475,8759,projection
1,475,8760,selection
1,475,8761,projection
1,475,8765,projection
1,475,8767,projection
1,475,8768,projection
1,475,8770,projection
1,475,9067,projection
1,475,9069,projection
1,476,477,selection
1,476,8705,projection
1,476,8706,selection
1,476,8707,projection
1,476,8710,projection
1,476,8713,projection
1,476,8714,projection
1,476,8715,projection
1,476,8716,projection
1,476,8717,projection
1,476,8724,projection
1,476,8735,projection
1,476,8758,projection
1,476,8759,projection
1,476,8760,selection
1,476,8761,projection
1,476,8765,projection
1,476,8767,projection
1,476,8768,projection
1,476,8770,projection
1,477,8706,projection
1,477,8760,projection
1,478,474,rollup
1,478,475,rollup
1,478,476,projection
1,478,477,selection
1,478,480,rollup
1,478,481,rollup
1,478,8705,projection
1,478,8706,selection
1,478,8707,projection
1,478,8710,projection
1,478,8713,projection
1,478,8714,projection
1,478,8715,projection
1,478,8716,projection
1,478,8717,projection
1,478,8724,projection
1,478,8735,projection
1,478,8758,projection
1,478,8759,projection
1,478,8760,selection
1,478,8761,projection
1,478,8762,projection
1,478,8765,projection
1,478,8767,projection
1,478,8768,projection
1,478,8770,projection
1,478,9067,projection
1,478,9069,rollup
1,479,474,rollup
1,479,475,rollup
1,479,476,projection
1,479,477,selection
1,479,480,rollup
1,479,481,rollup
1,479,8705,projection
1,479,8706,selection
1,479,8707,projection
1,479,8710,projection
1,479,8713,projection
1,479,8714,projection
1,479,8715,projection
1,479,8716,projection
1,479,8717,projection
1,479,8724,projection
1,479,8735,projection
1,479,8758,projection
1,479,8759,projection
1,479,8760,selection
1,479,8761,projection
1,479,8765,projection
1,479,8767,projection
1,479,8768,projection
1,479,8770,projection
1,479,9067,projection
