component_rank,queries,distinct_q,tables,gb,group_agg,max_q_per_table,q_per_table
1,484,362,50,0.028,91,171,9.68
2,224,169,10,0.046,26,104,22.4
3,213,144,2,0.002,0,138,106.5
4,195,186,84,0.036,5,49,2.32
5,185,173,89,0.244,3,57,2.08
6,152,147,65,0.113,5,40,2.34
7,136,110,15,0.09,38,60,9.07
8,122,89,7,0.336,32,62,17.43
9,116,109,5,0.003,47,86,23.2
10,113,99,1,0.002,0,113,113.0
11,99,75,2,0.019,3,99,49.5
12,78,73,17,0.021,0,34,4.59
13,71,56,1,0.0,37,71,71.0
14,69,60,30,0.007,0,39,2.3
15,68,27,1,0.0,0,68,68.0
16,65,51,2,0.03,0,59,32.5
17,57,49,1,0.072,36,57,57.0
18,56,43,2,0.005,0,38,28.0
19,53,51,5,0.212,35,41,10.6
20,53,50,49,0.001,17,51,1.08
21,51,45,38,1.244,0,49,1.34
