market,assets,pairs,falsified,zero_priced,family,seed,mechanism,revenue_norm,welfare_norm,served,mono_violation_rate,status
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,0.0,uniform,1.1909308536391976,3.2583205379099085,0.175,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,0.0,qirana_weighted_coverage,0.8752689211797873,3.493747427430049,0.4975,0.017586712261846604,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,0.0,querymarket_viewcover,1.1148120841561813,3.596317982156172,0.785,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,0.0,monopoly_per_asset,0.575719146581752,3.1752272794338494,0.4475,0.19052271617000488,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,0.0,chawla_ubp,1.194400076188989,3.2583205379099094,0.175,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,0.0,chawla_lpip,0.8376056739959011,3.5495778983434807,0.865,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,1.0,uniform,0.17531986366389185,0.3202491939088137,0.0275,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,1.0,qirana_weighted_coverage,0.21873589582719855,0.4839607347854577,0.315,0.017586712261846604,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,1.0,querymarket_viewcover,0.18727970243659514,0.6629668231769223,0.7725,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,1.0,monopoly_per_asset,0.23306294093874033,0.49737566969896596,0.3875,0.22081094284318514,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,1.0,chawla_ubp,0.14961459147156606,0.19680234817209893,0.0125,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,1.0,chawla_lpip,0.1727358326739562,0.4598703842654519,0.8925,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,2.0,uniform,0.0986274311961621,0.2224901693506859,0.0225,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,2.0,qirana_weighted_coverage,0.14702231289090614,0.38521075651758524,0.3125,0.017586712261846604,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,2.0,querymarket_viewcover,0.13811991325718678,0.660429266616119,0.78,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,2.0,monopoly_per_asset,0.17434376373222119,0.6147690761653357,0.62,0.19149975574010747,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,2.0,chawla_ubp,0.07923443277556699,0.20041717857231928,0.0175,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,support_rows,2.0,chawla_lpip,0.1037235511854732,0.32931827107142214,0.53,0.008793356130923302,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,0.0,uniform,1.1909308536391976,3.2583205379099085,0.175,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,0.0,qirana_weighted_coverage,0.8752689211797873,3.493747427430049,0.4975,0.017586712261846604,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,0.0,querymarket_viewcover,1.1148120841561813,3.596317982156172,0.785,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,0.0,monopoly_per_asset,0.575719146581752,3.1752272794338494,0.4475,0.19052271617000488,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,0.0,chawla_ubp,1.194400076188989,3.2583205379099094,0.175,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,0.0,chawla_lpip,0.8376056739959011,3.5495778983434807,0.865,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,1.0,uniform,0.17531986366389185,0.3202491939088137,0.0275,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,1.0,qirana_weighted_coverage,0.21873589582719855,0.4839607347854577,0.315,0.017586712261846604,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,1.0,querymarket_viewcover,0.18727970243659514,0.6629668231769223,0.7725,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,1.0,monopoly_per_asset,0.23306294093874033,0.49737566969896596,0.3875,0.22081094284318514,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,1.0,chawla_ubp,0.14961459147156606,0.19680234817209893,0.0125,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,1.0,chawla_lpip,0.1727358326739562,0.4598703842654519,0.8925,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,2.0,uniform,0.0986274311961621,0.2224901693506859,0.0225,0.0,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,2.0,qirana_weighted_coverage,0.14702231289090614,0.38521075651758524,0.3125,0.017586712261846604,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,2.0,querymarket_viewcover,0.13811991325718678,0.660429266616119,0.78,0.0009770395701025891,ok
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,2.0,monopoly_per_asset,0.17434376373222119,0.6147690761653357,0.62,0.19149975574010747,ok
